Date,Time,StoreID,CustomerID,OrderID,Product,Price
2024-03-18,16:40,2174,991901,2041,Onyx Anklet,5977.12
2024-06-27,18:29,2174,991901,8669,Opal Necklace,2014.36
2024-03-15,12:18,2174,991901,2317,Opal Necklace,2014.36
2024-08-17,17:08,2174,428138,1159,Turquoise Ring,8429.58
2024-06-07,09:09,2174,428138,4061,Platinum Wedding Ring,6741.59
2024-08-17,12:35,2174,428138,3882,Emerald Pendant,6153.7
2024-01-08,09:47,2174,428138,8417,Ivory Ear Cuff,1177.23
2024-01-01,01:18,2174,428138,2153,Onyx Anklet,1502.71
2024-02-29,10:23,2174,349300,9911,Emerald Pendant,6153.7
2023-12-17,20:05,2174,349300,6416,Yellow Gold Nose Ring,1805.47
2024-05-15,16:40,2174,349300,2371,Aquamarine Ring,9112.1
2023-12-17,07:45,2174,349300,7020,Garnet Pendant,8652.27
2024-03-27,17:54,2174,349300,4017,Jade Wedding Ring,9585.14
2023-12-13,06:26,2174,530231,8795,Turquoise Wedding Bands,1764.81
2024-07-03,18:02,2174,530231,2909,Emerald Engagement Ring,5582.94
2024-04-18,00:25,2174,530231,2247,Pearl Pendant,9125.93
2024-09-05,14:53,2174,530231,1615,Garnet Pendant,8652.27
2024-02-22,03:45,2174,112588,6743,White Gold Bracelet,7436.53
2024-02-26,01:45,2174,112588,9038,Turquoise Wedding Bands,1764.81
2023-11-21,05:45,2174,112588,3365,Yellow Gold Wedding Ring,7610.06
2024-06-30,08:41,2174,112588,2650,Jade Necklace,1991.48
2024-09-18,08:58,2174,112588,6362,Turquoise Wedding Bands,1764.81
2024-07-18,16:53,2174,750835,3174,Titanium Bracelet,3856.25
2024-02-18,19:12,2174,750835,4642,Pearl Bracelet,6543.43
2024-07-07,21:10,2174,750835,5096,Silver Anklet,7746.31
2024-09-19,07:22,2174,750835,1729,Yellow Gold Wedding Ring,3829.76
2024-01-25,09:57,2174,750835,6346,Ivory Pin,2406.51
2023-12-20,09:48,2174,584264,9929,Onyx Anklet,1502.71
2024-07-14,17:02,2174,584264,7262,Jade Wedding Ring,9585.14
2024-03-29,19:35,2174,717368,9342,Aquamarine Brooch,49.04
